2012-11-06 23:18:04,892 - ubuntuone.credentials - INFO - Starting Ubuntu One login manager for bus 'com.ubuntuone.Credentials'.
2012-11-06 23:19:11,104 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-06 23:19:11,105 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-06 23:24:11,268 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-06 23:24:11,268 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-06 23:29:11,263 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-06 23:29:11,263 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-06 23:53:12,275 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-06 23:53:12,275 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-06 23:58:12,437 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-06 23:58:12,438 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-07 00:03:55,280 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-07 00:03:55,281 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-07 00:08:55,271 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-07 00:08:55,272 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-07 00:34:04,276 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-07 00:34:04,276 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
2012-11-07 00:39:04,276 - ubuntuone.credentials - DEBUG - Handling DBus signal for member: 'CredentialsNotFound', app_name: dbus.String(u'Ubuntu Software Center').
2012-11-07 00:39:04,276 - ubuntuone.credentials - INFO - Received 'CredentialsNotFound' but app_name dbus.String(u'Ubuntu Software Center') does not match u'Ubuntu One', exiting.
